instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
pace16tw_fuzix_syscall_fs2__fchdir,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_syscall_proc__time,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_sysconf_sysconf,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_tty_tty_read,15,24,4,4,0,122,127,0.21,0.19,0.00
pace16tw_fuzix_usermem_ugets,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_vfscanf_vfscanf,64,108,6,6,0,10416,10423,3930.99,3930.41,0.43
pace16tw_GeneralizedPetersenGraph_10_4,20,30,6,6,0,3310,3317,12.62,12.55,0.04
pace16tw_GNP_20_10_0,11,19,4,4,0,49,54,0.07,0.04,0.00
pace16tw_GNP_20_10_1,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_GNP_20_20_0,17,42,6,6,0,136,143,0.32,0.31,0.00
pace16tw_GNP_20_20_1,17,45,7,7,0,75,83,0.27,0.26,0.00
pace16tw_GNP_20_30_0,19,55,8,8,0,233,242,0.95,0.93,0.00
pace16tw_GNP_20_30_1,15,53,8,8,0,38,47,0.11,0.09,0.00
pace16tw_GNP_20_40_0,20,78,10,10,0,153,164,0.86,0.84,0.00
pace16tw_GNP_20_40_1,20,71,8,8,0,40,49,0.32,0.30,0.00
pace16tw_GNP_20_50_0,20,91,10,10,0,37,48,0.28,0.26,0.00
pace16tw_GNP_20_50_1,20,106,12,12,0,73,86,0.49,0.46,0.00
pace16tw_GoethalsSeidelGraph_2_3,16,72,11,11,0,24,36,0.14,0.12,0.00
pace16tw_GoldnerHararyGraph,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_GossetGraph,56,756,-1,40,0,1568,1608,7200.00,0.00,0.00
pace16tw_GrayGraph,54,81,-1,8,0,7074,7082,7200.01,0.00,0.00
pace16tw_GrotzschGraph,11,20,5,5,0,32,38,0.04,0.03,0.00
pace16tw_HallJankoGraph,100,1800,-1,38,0,100,138,7200.01,0.00,0.00
pace16tw_HanoiTowerGraph_4_3,60,156,-1,11,0,19092,19103,7200.00,0.00,0.00
